logical_reasoning,verbal_ability,quantitative_aptitude,technical_skills,personality_type,interest_area,academic_performance,preferred_work_environment,career_path
3,1,9,3,Extrovert,Arts,7.22,Office,Financial Analyst
4,10,3,2,Ambivert,Programming,5.14,Fieldwork,Software Engineer
1,7,4,8,Introvert,Arts,7.25,Remote,Financial Analyst
4,5,7,10,Ambivert,Programming,6.48,Fieldwork,Artist
1,3,7,6,Ambivert,Programming,9.65,Fieldwork,Financial Analyst
1,9,4,6,Introvert,Management,5.62,Remote,Software Engineer
10,1,6,10,Introvert,Arts,8.26,Office,Data Scientist
6,1,3,7,Extrovert,Programming,5.26,Fieldwork,Artist
5,1,6,7,Ambivert,Management,7.23,Remote,Manager
4,3,2,6,Extrovert,Science,7.77,Fieldwork,Software Engineer
3,6,8,4,Ambivert,Management,6.49,Fieldwork,Manager
1,10,2,9,Ambivert,Management,7.28,Fieldwork,Data Scientist
6,3,7,6,Extrovert,Programming,5.82,Fieldwork,Manager
2,8,9,4,Ambivert,Finance,6.52,Fieldwork,Software Engineer
8,10,1,3,Ambivert,Finance,8.11,Office,Software Engineer
10,2,8,4,Ambivert,Finance,6.51,Office,Data Scientist
5,9,7,3,Introvert,Management,9.5,Remote,Software Engineer
7,3,6,2,Extrovert,Programming,8.14,Office,Data Scientist
10,5,6,5,Introvert,Arts,7.19,Office,Data Scientist
2,10,6,2,Extrovert,Management,5.19,Office,Software Engineer
8,8,9,6,Extrovert,Management,7.5,Fieldwork,Financial Analyst
2,2,2,3,Ambivert,Programming,8.82,Fieldwork,Data Scientist
4,6,1,6,Extrovert,Science,6.33,Remote,Software Engineer
1,5,6,10,Introvert,Management,9.03,Remote,Financial Analyst
5,10,10,9,Introvert,Science,6.26,Remote,Data Scientist
9,9,8,1,Introvert,Science,9.12,Fieldwork,Financial Analyst
1,5,3,6,Extrovert,Finance,5.43,Office,Artist
9,2,10,9,Introvert,Programming,9.33,Office,Artist
8,5,1,4,Extrovert,Science,7.5,Fieldwork,Financial Analyst
6,4,9,2,Introvert,Programming,6.48,Remote,Data Scientist
7,7,1,4,Introvert,Finance,6.33,Remote,Software Engineer
3,6,3,1,Extrovert,Programming,7.16,Remote,Manager
1,2,8,3,Introvert,Management,10.0,Fieldwork,Software Engineer
5,5,3,10,Ambivert,Science,6.1,Remote,Manager
2,7,4,9,Extrovert,Programming,5.52,Remote,Manager
5,7,8,10,Extrovert,Arts,7.93,Fieldwork,Data Scientist
8,5,1,5,Extrovert,Programming,7.44,Office,Financial Analyst
9,9,6,6,Ambivert,Science,7.62,Fieldwork,Software Engineer
2,4,1,3,Extrovert,Finance,8.33,Fieldwork,Financial Analyst
3,3,1,5,Introvert,Finance,6.34,Fieldwork,Artist
3,4,8,8,Introvert,Science,9.55,Fieldwork,Data Scientist
1,5,4,6,Introvert,Management,7.18,Office,Data Scientist
8,6,1,4,Extrovert,Management,5.65,Remote,Artist
6,3,10,2,Introvert,Finance,8.71,Fieldwork,Software Engineer
8,2,7,9,Extrovert,Finance,8.22,Office,Artist
9,4,5,1,Introvert,Science,6.58,Remote,Software Engineer
5,5,5,1,Ambivert,Management,8.11,Remote,Manager
3,4,1,4,Ambivert,Finance,6.1,Remote,Data Scientist
5,3,10,7,Ambivert,Management,7.22,Fieldwork,Software Engineer
5,8,6,1,Ambivert,Finance,9.5,Fieldwork,Financial Analyst
5,10,9,9,Extrovert,Programming,5.67,Remote,Financial Analyst
3,4,9,4,Introvert,Arts,6.93,Remote,Data Scientist
10,2,8,3,Ambivert,Programming,9.11,Remote,Artist
4,2,5,1,Extrovert,Finance,9.85,Remote,Artist
9,1,1,10,Ambivert,Arts,7.27,Remote,Software Engineer
10,4,9,4,Ambivert,Arts,7.53,Remote,Artist
9,10,1,9,Extrovert,Finance,7.86,Office,Data Scientist
2,9,8,10,Extrovert,Finance,9.66,Remote,Software Engineer
8,7,5,6,Introvert,Management,9.29,Fieldwork,Manager
8,10,3,6,Introvert,Finance,5.85,Fieldwork,Artist
7,7,7,1,Ambivert,Science,7.18,Fieldwork,Artist
8,7,7,10,Ambivert,Finance,7.32,Remote,Software Engineer
3,8,9,2,Introvert,Science,8.95,Fieldwork,Financial Analyst
6,1,7,6,Introvert,Finance,8.01,Office,Artist
1,10,3,2,Extrovert,Management,8.27,Remote,Data Scientist
7,10,1,3,Introvert,Science,9.99,Fieldwork,Artist
1,8,8,4,Introvert,Programming,5.37,Office,Manager
9,4,3,5,Ambivert,Science,6.12,Office,Artist
1,4,8,9,Introvert,Management,7.04,Fieldwork,Financial Analyst
1,4,8,4,Ambivert,Science,6.74,Office,Artist
7,6,5,9,Introvert,Finance,5.11,Fieldwork,Software Engineer
2,7,1,10,Extrovert,Finance,5.46,Office,Artist
5,6,10,3,Introvert,Management,8.4,Remote,Financial Analyst
8,1,7,8,Introvert,Arts,9.4,Remote,Software Engineer
8,8,10,1,Introvert,Finance,7.57,Remote,Data Scientist
3,10,5,9,Ambivert,Programming,7.7,Remote,Software Engineer
7,7,8,9,Extrovert,Management,6.28,Remote,Manager
3,6,9,10,Introvert,Science,8.84,Fieldwork,Software Engineer
6,6,7,2,Ambivert,Science,8.76,Remote,Data Scientist
6,5,7,4,Extrovert,Programming,7.94,Remote,Artist
3,6,1,8,Ambivert,Finance,6.06,Remote,Software Engineer
7,9,4,7,Ambivert,Management,5.49,Remote,Software Engineer
3,10,2,1,Extrovert,Programming,5.32,Office,Software Engineer
8,9,2,5,Introvert,Finance,7.96,Remote,Software Engineer
10,10,2,7,Ambivert,Management,9.13,Remote,Data Scientist
4,8,4,4,Ambivert,Science,9.29,Fieldwork,Financial Analyst
1,10,1,1,Introvert,Management,7.32,Office,Financial Analyst
4,9,4,9,Introvert,Arts,8.92,Fieldwork,Software Engineer
7,10,2,5,Extrovert,Management,9.73,Remote,Data Scientist
4,8,5,2,Extrovert,Arts,6.38,Fieldwork,Data Scientist
6,8,3,8,Extrovert,Management,6.99,Fieldwork,Software Engineer
9,1,8,2,Introvert,Arts,9.66,Remote,Manager
1,10,4,3,Ambivert,Science,6.69,Office,Software Engineer
5,5,1,10,Ambivert,Finance,9.57,Office,Manager
7,4,1,1,Extrovert,Arts,9.91,Fieldwork,Software Engineer
1,2,10,2,Introvert,Arts,8.31,Remote,Manager
4,8,3,7,Ambivert,Science,9.08,Fieldwork,Manager
6,3,9,10,Extrovert,Arts,8.75,Fieldwork,Software Engineer
2,4,7,2,Ambivert,Programming,8.5,Fieldwork,Manager
10,7,2,6,Ambivert,Science,6.53,Remote,Artist
5,10,9,3,Introvert,Programming,5.29,Remote,Financial Analyst
10,9,10,4,Introvert,Science,6.72,Office,Data Scientist
1,2,2,8,Ambivert,Arts,8.33,Remote,Manager
6,3,3,3,Extrovert,Programming,5.51,Fieldwork,Manager
6,4,10,10,Introvert,Arts,5.06,Fieldwork,Data Scientist
4,10,2,6,Ambivert,Science,5.7,Office,Manager
8,1,3,1,Introvert,Arts,8.58,Remote,Data Scientist
4,7,6,7,Introvert,Programming,9.86,Fieldwork,Software Engineer
8,2,9,8,Introvert,Programming,9.92,Office,Artist
8,5,9,8,Ambivert,Arts,7.47,Office,Artist
5,1,7,3,Extrovert,Management,9.35,Fieldwork,Financial Analyst
4,3,3,10,Extrovert,Science,8.68,Fieldwork,Manager
2,2,4,1,Extrovert,Science,7.51,Remote,Financial Analyst
3,1,6,9,Introvert,Arts,7.86,Office,Software Engineer
3,7,5,6,Ambivert,Management,5.69,Fieldwork,Artist
4,5,2,9,Introvert,Programming,9.69,Office,Software Engineer
4,1,6,7,Extrovert,Finance,6.76,Remote,Software Engineer
10,6,3,1,Extrovert,Finance,7.23,Fieldwork,Manager
5,5,8,1,Ambivert,Arts,8.36,Remote,Software Engineer
4,3,2,6,Introvert,Management,6.67,Office,Artist
10,7,1,5,Extrovert,Management,6.27,Remote,Financial Analyst
8,10,9,9,Ambivert,Science,8.16,Remote,Artist
6,9,3,2,Introvert,Programming,5.12,Office,Manager
6,9,1,8,Introvert,Management,8.6,Remote,Artist
8,9,7,5,Extrovert,Finance,7.57,Office,Data Scientist
7,2,10,2,Extrovert,Programming,8.03,Fieldwork,Financial Analyst
10,3,5,10,Introvert,Programming,8.16,Office,Data Scientist
10,7,5,6,Introvert,Arts,7.64,Office,Data Scientist
8,5,1,10,Extrovert,Management,7.91,Fieldwork,Manager
2,2,9,8,Introvert,Arts,8.42,Office,Software Engineer
9,3,7,4,Extrovert,Management,8.77,Fieldwork,Data Scientist
